session_title,year,number_of_authors,number_of_papers
"Relation of Profit to Monopoly Power, Investment, and Economic Expansion in the Contemporary United States Economy",2019,5,4
Relative Concerns and the Evolutionary Foundations of Preferences,2011,7,4
Religion and Social Insurance: Evidence from Across Time and Place,2016,4,3
Rent Control,2019,12,5
"Rents and Empirical Real Estate (J3, R1)",2016,11,4
"Replication in Economics (B4, C1)",2016,9,5
"Reproducibility of Social Science Experiments: Some Innovative Evidence (C9, C8)",2016,10,3
Reputation and Contracts,2012,5,3
Research and Practice from Inside the Workforce Development and Unemployment Systems,2015,4,3
Research in Economic Education,2013,8,4
Research in Economic Education,2014,9,4
Research in Economic Education,2016,9,4
Research in Economic Education,2018,11,4
Research in Economic Education,2019,8,4
Research in Economic Education: Efficacy of Interventions in Economic Education,2016,9,4
Research in Feminist Radical Political Economics,2018,4,4
Research in Medicaid/Children's Health Insurance Program (CHIP),2011,6,3
Research Methods and Applications in Heterodox Economics,2014,8,5
Research on College and University Economic Education,2012,11,4
Research on Teaching Practices of Economics Faculty,2011,6,3
Research on Urbanization in China,2015,8,4
Research Transparency: Pre-Analysis Plans and Other Approaches for Economics,2014,7,4
Residential Investment,2019,10,4
Residential Real Estate Price Formation Process,2018,9,4
Residential Real Estate Pricing,2018,10,4
Residential Real Estate Pricing,2019,10,4
Resilience and Stability in New EU Economies,2019,9,4
Resolving Puzzles and Contradictions in Job Tenure Trends,2018,6,3
Responses to Environmental Regulation,2011,7,3
"Rethinking Macroeconomics: Microfoundations, Production Functions, and Policies",2016,5,4
Rethinking the Core,2011,2,2
Rethinking the Normative and the Positive in Choice Theory,2011,3,3
Retirement and Bequest Issues in Forensic Economics,2019,3,3
"Retirement Savings and Household Decisions (E2, G1)",2015,14,4
Retirement Wealth Inequality,2018,10,4
Return Predictability,2011,7,3
"Returns to Child and Education Interventions (I2, D1)",2015,8,4
Returns to Schooling,2012,8,4
Returns to Vocational Education - Experimental Evidence from Developing Countries,2013,12,4
Revealed Preference Theory and Applications: Recent Developments,2014,10,4
Revealed Preferences: Modeling and Inference,2012,8,3
Reversals of Fortune in Health and Wellness,2019,7,3
Revisiting the Relationship between Biofuels Production and Food Prices,2012,14,4
Richard T. Ely Lecture,2014,1,1
Rigidities and Macroeconomic Dynamics,2015,13,4
Risk and Ambiguity,2014,7,4
Risk and Expectations in Higher Education,2011,6,4
Risk and Return in Commercial Real Estate,2011,8,4
Risk and Return in Financial Intermediation,2019,8,3
Risk Management,2018,13,4
Risk Management and Corporate Options,2014,8,3
Risk Mitigation Tools in Agriculture: Crop Insurance and Contract Farming,2015,10,4
Risk Premia and the Macroeconomy under Non-standard Preferences,2013,9,4
"Risk Sharing, Uncertainty and Information",2016,9,4
"Risk, Returns, and Runs: Banks and Countries",2013,6,4
Robust Dynamic Contracting,2012,6,4
Robust Inference in Econometrics,2013,8,4
Robustness and Approximation in Mechanism Design,2012,5,3
Role of Regulators and Supervisors in Regulation,2019,7,3
Round Table on Regionalism,2011,5,1
"Roundtable on ""Improving Employment and Earnings in Twenty-First Century Labor Markets""",2019,6,4
"Roundtable Session: The Great Economic and Financial Crisis, Institutional Economics and the Future of Capitalism",2013,5,5
Roundtable: Is the Crisis Over?,2011,5,5
Ruling the Market: Neoliberal Reasoning in Germany and Beyond,2016,6,4
"Safe Assets (E2, G1)",2015,11,4
"Safe Assets and Macroeconomic Policies (E2, G1)",2016,6,3
"Saving for the Common Man: Target-Date Funds, Defaults and the Design of 401(k) Plans",2013,9,4
Savings Experiments in Developing Countries,2011,10,4
School Accountability and Student Outcomes: The Impact of No Child Left Behind,2011,10,4
School Choice and School Quality,2011,8,3
Schooling Decisions: Intended and Unintended Consequences of Public Policies,2015,6,4
Schools,2011,8,5
"Schools and the Housing Market (R2, H2)",2015,10,4
Scientific Productivity,2018,10,4
Search and Learning,2012,6,4
Search and Matching Markets with Informational Asymmetries,2016,8,4
Search and Mechanisms,2013,7,4
Searching and Contracting,2014,8,4
Searching for Market Mistakes,2015,11,4
"Seasonality in Developing Country Markets: Consumption, Prices and Labor",2015,10,4
Secrecy and Innovation,2013,8,4
Sectoral Wage Gaps and the Returns to Migration,2018,11,4
"Securitization (G2, D5)",2016,8,4
Securitization and Mortgage Markets,2014,10,4
Securitization and Security Design,2013,10,4
Security and Market Mechanism Design,2016,10,4
Selecting Mutual Funds,2019,10,4
Selection and Moral Hazard in Health Insurance,2012,6,3
"Self-Control, Self-Confidence, and Self-Deception",2011,12,4
Selling Economics to the Foundations,2011,4,3
"Sex, Drugs, Kidneys and Migrants: Economic Analyses of Contested Transactions",2019,13,5
"Sex, Race and Finance",2018,10,4
Shadow Banking in the US and Europe,2013,4,4
"Shall I Fear Thou? Theoretical and Empirical Evidence on the Determinants, Effects, and Persistence of Aggression vs. Cooperation",2014,12,4
Shaping Norms,2019,12,4
Shareholder Activism and the Market for Corporate Control,2016,11,4
Shareholder Heterogeneity and Corporate Governance,2018,9,4
Shareholder Rights and Corporate Control,2013,9,4
"Shocks and Disasters (E2, G1)",2015,10,4
"Shocks, Beliefs and Cycles",2019,10,4
Shopping in Macroeconomics,2018,10,4
"Should I Stay or Should I Go? Drivers of Work, Wages, and Inactivity",2019,6,4
Simulation Estimation,2016,10,5
Sin Taxes,2019,11,4
Single and Bidirectional Economic Dependencies in Energy Systems,2019,11,4
"Size, Content, and Student Characteristics: What Matters in the Economics Classroom?",2013,8,4
"Skill Matchmaking in the Modern Economy: Workers, Employers, and the Role of Educational Institutions as Intermediaries in the Employment Relationship",2018,6,4
"Skilled Immigration, Labor Mobility and Technology Spillovers",2011,11,4
Skilled Worker Immigration and the H1B Program,2016,10,4
"Skills, Work, and Technology: The Increased Supply of Global Graduates and its Implications",2012,4,4
Slow-Moving Capital,2011,9,4
Small Business Finance,2013,13,5
SNAP: Participation and Food Insecurity,2013,6,3
Social and Economic Consequences of Land Reforms in Russia,2013,11,4
"Social Behavior in the Field (D7, C9)",2015,9,3
Social Choice and Welfare Analysis,2013,5,3
Social Control --Processes and Outcomes,2014,8,5
Social Control and Sustainability,2014,7,5
Social Control in the Modern Economy,2014,6,5
Social Corporate Finance,2019,11,4
Social Determinants of Health and Wealth,2019,8,4
Social Economic Policy,2011,7,5
Social Economics of the Financial Crisis,2011,7,4
"Social Entrepreneurship, Social Justice and Development",2014,7,5
Social Entrepreneurship: Maximizing Impact and Innovation,2014,6,5
Social Foundations of Identities and Economic Dysfunctions,2018,6,3
Social Influence and Networks,2018,5,3
"Social Insurance Policy Over the Business Cycle: New Advances (E6, E3)",2016,12,4
"Social Insurance Programs and the Labor Market (H5, J1)",2015,12,4
Social Interactions and Economic Choices,2013,11,4
"Social Interactions, Networks and Fixed Effects",2018,8,4
Social Media and Political  Economy,2018,14,4
Social Media and Textual Analysis in Finance,2016,9,4
Social Mobility and Demography in China and Japan,2016,3,3
Social Mobility over Many Generations,2013,7,5
"Social Networks Experiments (C7, D8)",2015,14,4
"Social Networks, Human Capital and Social Exchange",2013,5,4
"Social Networks, Peer Effects and Politics",2013,10,4
"Social Networks: Methods and Applications (D8, C1)",2015,6,4
"Social Norms, Female Labor Supply and the Family",2019,14,4
Social Preferences with Not WEIRD (Western Educated Industrialized Rich Democratic) People,2019,7,4
Social Protection Programs in Latin America,2011,8,5
Social Security Policy Interactions and Spillovers,2019,11,4
"Social Signaling (D8, Z1)",2016,12,4
Social Structure,2011,12,5
"Social, Economic, and Environmental Issues in Developing Economies",2019,10,5
"Social, Political, and Economic Order and Control in China",2019,11,4
Socio-Economics and Politics,2011,10,5
"Solidarity and Sustainability: Full Employment, Inclusion, and Social Justice",2018,5,5
"Some Issues of RMB Exchange Rates on Price Convergence, Investment, Inflation and Stock Market Responses",2013,10,5
"Some Meanings and Impacts of ""Culture"" in Institutions and Organizations",2019,12,4
"Sorting, Tasks, and Inequality: New Theory and Evidence (J2, J3)",2016,7,4
Sources of Labor Market Discrimination,2019,12,4
Sources of Peer Effects,2014,10,4
South-South Economic Integration and Development,2014,5,5
Sovereign Bond Risk,2012,8,4
Sovereign Credit Risk,2011,7,3
Sovereign Debt and European Crisis,2016,14,4
Sovereign Debt and the Euro Crisis,2015,8,4
Sovereign Debt Contracts,2016,10,5
Sovereign Debt Crises,2014,5,3
Sovereign Debt Crisis,2014,8,3
"Sovereign Debt, Capital Flows and Sudden Stops",2019,7,4
Sovereign Default,2018,12,4
"Sovereign Defaults: Theory and Evidence (F3, E1)",2015,9,4
Sovereign Risk,2013,15,5
Sovereign Wealth Funds: Threat or Salvation?,2012,10,4
"Spatial Allocation of Conflict, Individuals, and Economic Activity",2014,6,4
Spatial Competition,2014,10,4
Spatial Frontiers in Environmental and Resource Economics,2011,9,5
"Spatial Misallocation (H7, R1)",2015,9,4
"Spatial Mismatch (J6, R2)",2016,7,3
Spatial Perspectives on Economic Opportunity,2019,6,4
Special Topics in Forensic Economics,2019,4,3
"Special Topics: Real Estate (G1, R2)",2016,11,4
"Speculation, Insurance and Financial Regulation",2013,7,4
Stabilizing an Unstable International Monetary System - Current and Historical Perspectives,2018,5,5
Startups and Entrepreneurship,2018,6,4
"Startups, New Businesses, and Job Creation",2016,7,4
State and Financial Sector Development,2013,11,4
State and Local Public Finance,2012,10,4
State Failure in Africa,2013,5,5
Stationarity Tests and Margin of Error in Forensic Economics,2019,6,3
Still Between Work and Home: Women in Today’s Labor Market,2012,8,4
Still Shifting Risk: Healthcare and Retirement,2014,7,3
Stochastic Choice under Risk: Economic and Psychological Views,2012,4,4
Stochastic Dominance Tests to Evaluate Treatment Effects,2012,9,4
Strategic Games,2016,8,5
Strategic Learning: Theory and Evidence,2014,12,4
Strategies for Reducing Crime,2014,9,3
Stratification and Intersectionality,2019,7,3
Stratification Economics (A Roundtable): An Emerging Subfield,2011,11,5
"Stress Tests and Systemic Risk (G1, G2)",2015,7,4
Structural Behavioral Economics,2013,18,4
Structural Change and Productivity,2013,11,4
"Structural Change, Growth and Welfare in the Global Economy",2012,8,4
"Structural Change, International Trade, and Real Exchange Rate",2014,9,4
"Structural Demand Models of Attention: Theory and Applications (L2, D8)",2015,7,4
Structural Econometrics Models,2016,12,5
Structural Estimation,2014,8,4
Structural Estimation in Finance,2014,9,4
Structural Estimation in Finance,2015,6,3
Structural Estimation of Network Models: Recent Advances and Applications,2018,6,4
"Structural Factors Affecting Socioeconomic Outcomes by Race, Ethnicity, and Birthplace",2015,10,4
Structural Models,2013,7,4
"Structural Models of Family Interactions (J1, L1)",2015,7,3
Student Characteristics and Performance in the Economics Classroom,2011,8,4
Studying Facets of the United States Labor Market with National Longitudinal Survey of Youth Data,2019,8,3
"Subjective Expectations, Belief Formation, and Economic Behavior",2018,13,4
Subjective Longevity Risk and Life-Cycle Decision Making,2014,8,4
Subprime Lending - Causes and Consequences,2011,8,5
Subprime Lending: Theory and Evidence,2012,9,4
Subtle Influences on the Cost of Debt,2019,6,3
Supply Chains as Mechanisms to Facilitate Technological Change in Agriculture,2016,7,4
Supporting Economic Redistribution (or Not): Determining Factors,2018,10,4
"Supranational Regulation and Supervision, Cross-Border Banking, and Systemic Risk (F3, G1)",2016,7,3
"Surviving the Great Depression: Firms, Workers, and Banks",2018,8,3
Sustainable Communities: Structure and Agency,2019,4,3
Sustainable Economic Growth and Well-Being,2019,9,3
"Tail Risks (D8, G1)",2015,7,4
Takeovers,2014,10,4
Takeovers and Merger Waves,2013,11,4
"Talent, Human Capital and Finance",2018,10,4
Taming and Explaining Anomalies,2018,9,4
Targeting Nutrient Pollution to Protect Inland and Coastal Waterways: Tradeoffs Between Agriculture and Aquatic Ecosystem Services,2016,7,4
TARP and Crisis Resolution,2014,10,4
Tax Compliance,2015,7,4
Tax Evasion and Avoidance,2018,10,3
"Tax Experiments (H2, C9)",2016,8,4
Tax Incidence,2012,11,5
Tax Policy Effects on Low Income Households,2012,7,4
Tax Reform and United States Farm Income,2018,8,3
Taxation,2014,11,5
"Taxation and Charitable Giving (D6, H2)",2016,6,3
Taxation and Fiscal Policy,2019,9,5
Taxation and Health Insurance,2012,7,3
Taxation in Developing Countries,2013,9,4
"Taxation, Automation and Labor Markets",2019,12,5
"Taxation, Political Economy, and Misallocation",2019,11,5
Taxes,2011,12,5
Taxes,2013,14,6
"Taxes and Capital Structure (G3, H2)",2015,7,4
"Taxes and Incentives (H2, H8)",2016,10,4
"Taxes and Mobility (H2, H3)",2016,11,4
"Taxes and Transfers (H2, H3)",2015,9,4
Taxes on Property and Housing: Lessons from the Past and Guidance for the Future,2011,6,4
"Taxes, Top Incomes, and Executive Compensation",2014,13,4
"Taxes, Transfers, and Inequality",2013,9,4
Taxing in a Globalized World,2019,7,3
Teaching the Euro Crisis,2014,6,3
Teaching Undergraduate Economics,2011,9,4
Technical Change and Labor Markets in History,2016,6,4
Technological Change,2013,10,5
Technological Change and Social Provisioning,2019,7,5
Technological Innovation and Climate Change,2013,11,4
Technological Innovation to Tackle Climate Change,2011,12,4
Technological Progress and Inequality: Perspectives from Optimal Tax Theory,2019,7,4
Technology Adoption,2015,12,5
Technology and Property Rights,2014,5,4
"Technology, Productivity, Growth, and Jobs",2019,6,5
Term Structure and Volatility,2011,9,4
Terrorism and International Conflict,2011,10,5
Terrorism in the Middle East and North Africa – Drivers and Consequences,2019,8,4
Testing,2013,9,4
Testing the Effectiveness of Economic Education at the K-12 level,2013,9,4
The 2006 Massachusetts Health Care Reform,2012,7,4
The 2008 Economic-Financial Crisis: 10 Years After,2018,7,5
The 2014 Farm Bill: An Economic Post Mortem,2015,10,4
The 50th Anniversary of Milton Friedman's Presidential Address,2018,5,3
The 5th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter,2013,7,5
The Analysis of Big Data: New Tools and New Results with Health and Finance Applications,2014,10,4
"The Arab Spring: Economic Causes, Consequences, and Lessons Learned",2012,9,5
The Bank Capital Crunch and the Financial Crisis of 2007-2008: Micro-evidence from Europe,2011,11,4
The Benefit-Cost Analysis of Social Policy,2011,10,5
The Biology of Finance,2011,8,3
"The Business Enterprise, Market Governance, and the Social Provisioning Process",2015,5,5
The Cause and Effect of Violence,2013,12,5
The Causes and Consequences of Household Borrowing,2018,14,4
The Challenge of Banking Regulation,2014,10,4
The Challenge to the Postwar Liberal Trade System,2019,6,4
The Changing Conditions of Faculty Work: Legal Issues and Institutional Responses LERA HIgher Education Industry Council,2011,5,4
The China Economy: Issues and Prospects,2018,10,4
The Co-evolution of Culture and Institutions: Short and Long Term Perspectives,2012,11,4
The Consequences of Imperfect Financial Markets,2014,9,3
The Consequences of Rising Inequality for Mobility and Economic Well-Being,2019,11,4
"The Consequences of the GSEs (G2, G1)",2015,9,4
The Consequences of Violence,2013,10,5
The Continuing Relevance of the Early Institutionalists,2019,5,5
The Costs and Benefits of Environmental Regulation in the United States and China,2018,11,4
The Costs and Benefits of Pollution Control,2011,15,5
The Credit Crisis and Risk Management Instruments,2013,7,3
The Crisis in Europe and Beyond,2012,6,5
The Crisis in Housing and Prospects for Financial Reform,2012,5,4
The Cross-Section of Expected Returns,2016,5,3
The Cuban Economy,2011,3,3
The Cuban Economy,2012,3,3
The Cuban Economy,2013,4,3
The Cuban Economy,2016,3,3
The Cuban Economy,2018,4,3
The Cuban Economy,2019,3,3
The Cuban Economy: Should the United States Lift the Embargo?,2014,1,1
The Currency Carry Trade: New Evidence and Theory,2014,9,4
The Cyclicality of Hiring and Employment,2014,12,4
"The Demand For and Effects of College Quality (I2, J2)",2016,12,4
The Demand for Commitment Devices,2018,9,4
The Demand for Insurance in Developing Countries,2014,8,3
The Design and Use of Patents,2016,7,4
The Destabilizing Impacts of Natural and Man-Made Crises,2012,6,5
"The Digital Agenda of Virtual Currencies in the Bitcoin Age: Regulation, Anonymity and Cybercrime",2019,3,3
The Dissagregation of Value-added Learning Scores in Economic and Personal Finance Education,2018,10,4
"The Dollar, the Euro, the Yuan and the International Monetary System",2011,5,5
The Dynamics of Health and Wealth among the Elderly,2012,10,4
The Dynamics of Income: Celebrating 50 years of the PSID,2018,10,4
The Early Origin of Inequality,2012,4,4
The Economic Case or Health Equity,2018,11,3
The Economic History of Social Issues,2018,6,4
The Economic Impact of Ambiguity: Theory and Evidence,2014,11,4
The Economic Impact of Globalization,2018,14,4
The Economic Implact of Global Banking,2012,12,4
The Economic Institutions of Higher Education,2014,6,3
The Economics and Economic Impact of New Screening Technologies,2013,7,4
The Economics Humor Session in Honor of Caroline Postelle Clotfelter,2011,5,4
The Economics Humor Session in Honor of Caroline Postelle Clotfelter,2012,6,5
The Economics of Black American Institutions,2011,7,6
"The Economics of Blood, Stem Cell and Organ Donation",2011,12,4
The Economics of Child Health and Other Aspects of Childhood Development,2019,7,4
"The Economics of Civil War, Violence and Conflict",2011,7,4
The Economics of Cognitive and Non-cognitive Skills,2011,14,4
The Economics of Cognitive and Noncognitive Skills,2012,6,3
The Economics of Controversial Policies and Unintended Consequences,2018,5,2
"The Economics of Corporate Social Responsibility I: Communities, Countries, and Cultures",2012,6,4
The Economics of Corporate Social Responsibility II: Critical Views,2012,5,4
The Economics of Health Care Reform and Technological Change,2012,7,4
The Economics of Higher Education,2013,8,4
The Economics of Infectious Disease,2012,6,4
The Economics of International Trade Agreements,2018,10,4
The Economics of Managers and Management,2012,8,4
"The Economics of Organizations (M5, L2)",2015,9,4
The Economics of Peer to Peer Markets,2016,7,4
The Economics of Race and Sports,2014,6,4
"The Economics of Race, Educational, and Financial Outcomes",2011,8,6
The Economics of Secular Stagnation,2015,3,3
The Economics of Sickness Absence,2011,10,5
The Economics of Skyscrapers and Land Use,2011,5,4
"The Economics of the Internet (L8, D8)",2015,11,4
The Economics of the Medicare Part D Prescription Drug Program,2011,10,4
The Economics of the Organic Food System,2011,5,3
The Economics of Violence,2011,10,4
"The Economics of Violence (O1, Q1)",2016,12,4
The Economics of Water Pollution,2016,8,4
The Economy of Ancient Israel,2015,5,4
The Effect of Economic Crises on Health and Health Care,2012,10,4
"The Effect of Taxes and Transfers on Labor Supply, Savings, and Health Insurance",2018,11,4
The Effectiveness of Public Policies to Promote Employment and Safety,2018,8,4
"The Effects of Attendance, Visualization, Study Time and Tutorials on Learning in Economic Education",2015,11,4
The Effects of Banking Competition and Structure,2012,9,4
The Effects of Cash Transfers,2019,10,3
"The Effects of Conflict (F5, I1)",2016,9,4
The Effects of Credit Risk on Bank Lending,2012,12,4
The Effects of Financial Education and Financial Literacy,2012,12,4
The Effects of Firm and Co-Worker Behaviors on Employee Outcomes: Quasi-experimental Evidence from Administrative Data,2019,9,4
"The Effects of Large Shocks and Institutional Change on Employment: Evidence from the United States, China and Russia",2014,10,4
The Effects of Macro-Financial Interventions,2012,7,4
The Effects of Online Economics Courses on Student Learning,2013,10,4
The Effects of Personal Finance Education Over the Life Cycle,2014,7,4
The Effects of Personality on Labor Market and Health Outcomes,2012,8,4
The Effects of Socioeconomic Status in Childhood on Adolescent Health and Labor Outcomes,2011,7,4
"The Effects of Structural Reforms in Advanced, Emerging and Developing Economies",2019,12,5
The Employee Ownership Approach to Shared Prosperity: New Research,2015,6,4
"The End of the Chinese Model: Economic Crisis, Climate Change, and Class Struggle",2012,4,4
The Enforcement of Labor Rights in Developing Countries,2012,3,3
"The Environment, Law, and Social Economics",2014,6,4
"The Ethics and Economics of Corporation Governance, Finance, and the Great Recession",2014,6,4
"The Ethics of Economic Policies and Institutions: Environment, Health, Wages, Finance, and Cooperatives",2012,6,5
The Euro Crisis,2013,7,5
"The Euro Crisis: Causes, Effects, Prospects",2012,4,4
The Euro Crisis: Prospects for Its Resolution,2013,3,3
"The Euro-Area Debt Crisis, Current Account Imbalances, and Economic Growth",2013,10,4
The European Crisis and the Future of the Euro and Europe,2011,6,5
The European Union's New Institutions: Political Economy and Economic Perspectives,2016,6,5
"The Evolution of Earnings Inequality, Property Laws and Educational Attainment on Marital Behavior",2016,9,4
The Evolution of White Collar Occupations and Professions,2015,4,3
The Federal Reserve Banks as Partners in Teaching and Learning Economics,2019,7,4
"The Fiftieth Anniversary of Milton Friedman and Anna J. Schwartz, A Monetary History of the United States",2013,6,3
The Financial Crisis: Empirical Evidence,2011,14,4
The Financial Economics of Pensions and Insurance Companies,2019,10,3
The Formation of Expectations and Macroeconomic Dynamics,2018,13,4
The Foundations of Decision Making: Recent Developments,2012,10,4
The Future of Economic Research Under Rising Risks and Costs of Information Disclosure,2019,6,4
"The Future of Energy: Markets, Technology and Policy",2013,3,3
The Future of Public Sector Collective Bargaining,2013,5,4
The Geography of American Despair and Declining Economic Opportunity,2018,8,4
The Geography of the Family,2013,9,4
The Gig Economy,2019,10,4
The Global Financial Crisis: Contagion and Cross-Country Linkages,2012,12,5
The Global Infrastructure Investment Challenge,2018,4,3
The Great Crisis and the Future of Economic Theory,2012,7,5
The Great Debate about the Public Sector,2012,6,5
The Great Recession and Implications for African Americans,2015,7,4
The Great Recession and Recovery,2013,9,4
The Great Recession's Effect on Well-Being Through Different Prisms,2014,9,4
The Great Trade Collapse of 2008-2009,2011,11,4
The Groundwater-Energy Nexus,2014,6,3
The Growth of Finance,2014,7,4
"The Haves and the Have Nots - Access, Opportunity, and Outcomes in Households, Businesses, and Life",2019,9,4
The Historical Development of HRM Across Nations: Patterns and Implications (Symposium),2012,7,6
The Histories of Scientific Observation in Economics,2011,5,4
The History of Financial Economics: A Session in Memory of Peter Bernstein,2012,6,4
The Impact of Cash Transfer Programs on Environmental Outcomes in Developing Countries,2013,16,4
"The Impact of Chinese Trade: The Good, The Bad and the Apocryphal",2019,13,4
The Impact of Commodification on the Social Provisioning Process,2015,6,5
"The Impact of Culture on Corporate Decisions (G3, Z1)",2016,5,3
The Impact of Digital Economy,2019,14,4
The Impact of Health Insurance Expansions on Other Social Safety Net Programs,2014,9,3
"The Impact of Mental and Emotional Health, Stress and Disability over the Business Cycle",2013,8,4
The Impact of Negative Emotions on Economic Decisions,2012,9,3
"The Impact of the Affordable Care Act on Hospital Use, Cost, and Market Structure (I1, L1)",2016,11,3
The Impact of the Digital Economy,2018,5,5
The Impact of the Great Recession on Public Sector Employment: LERA Research Volume Preview (Symposium),2012,6,4
The Impact of Unconditional Cash Transfers in the United States,2018,5,4
"The Impacts and Intersections of Full Employment Policy on Race, Class and the Environment",2016,6,5
The Impacts of Great Society Programs,2013,7,4
The Impacts of Public Sector Pay Reforms in a Context of Austerity: Evidence from Europe,2013,4,3
The Impacts of Spatial Policy,2019,9,6
The Incidence of Non-standard Employment and Its Consequences for Firms and Workers,2013,7,3
The Indispensable Relationship: China-United States Economic Interdependence,2015,8,4
The Industrial Organization of Financial Markets,2019,11,4
The Industrial Organization of Financial Services,2015,10,4
The Influence of Markets on Corporate Policy,2016,5,3
The Integral Role of Ethics in Economics,2019,4,3
The Integration of China into the World Economy,2012,10,4
"The Interaction between Housing and Labor Markets: Structural Approaches (J6, R2)",2015,11,4
The International Transmission Mechanism,2011,8,4
The International Transmission of Financial Shocks: Bank-Level Evidence from the 2007-2009 Crisis,2012,7,4
The Japanese Economy in the Age of Uncertainty,2019,6,4
The Job Guarantee: Exploring the Opportunities,2014,5,5
"The John R. Commons Award Lecture: Michael Szenberg on ""American Book Publishing -- The Reshaping of an Industry""",2013,1,1
"The John R. Commons Award Lecture: Peter Diamond on ""Pensions, Taxes and the Budgetary Process""",2012,1,1
The Labor Market,2011,11,4
The Lasting Implications of Jim Crow,2015,6,4
The Legacy of the War on Poverty,2013,7,3
The Life Cycle of Inventors Past and Present,2018,15,4
"The Liquidity of Real Estate (G1, R3)",2015,12,4
The Market for Corporate Control,2016,11,4
The Market for Medicines in Developing Countries,2013,9,4
"The Market Microstructure of Monetary Policy (G1, E5)",2016,8,4
The Micro Origins of Macro,2018,9,4
"The Minimum Wage, Family Income and Poverty: New Research",2015,8,4
The Nature and Importance of Commodity and Relational Good Exchanges,2015,9,3
The Nature of Conflict,2016,9,4
The New Firm Dynamics of Business Cycle Fluctuations,2016,6,4
The New Generation of Minimum Wage Policies in California,2016,5,4
The New Normal? The Food and Agricultural Economy,2012,7,4
The Next Crisis – From Where and Are We Ready?,2019,5,3
The Next Generation of Rare Events Models in Asset Pricing,2011,8,4
The Nexus Between Monetary Policy and Financial Stability,2018,8,4
The Nonprofit Sector and Intersectoral Competition,2011,8,4
The Optimal Inflation Target,2019,9,3
The Organization of Organizations,2014,11,4
The Organizational Economics of Multinational Firms,2013,9,4
The Outcome Effects of Unionization on Care Workers,2012,11,4
The Phenomenal Woman: Overworked and Underpaid,2012,4,4
The Policy Relevance of Institutional Economics: Papers in Honor of Paul Dale Bush,2011,8,5
The Policy Response to the Financial Crisis,2011,10,4
"The Political Economics of Momentum, Persistence and Information",2013,12,5
The Political Economy and Health,2019,8,5
"The Political Economy of Capital Flows, Capital Controls and Central Bank Policy in a Global and Historical Perspective",2016,5,4
The Political Economy of Distribution,2014,4,4
The Political Economy of Institutional Change,2019,10,4
"The Political Economy of Institutions: Law, Collective Action, and the Governance of Public Bureaucracies",2013,11,4
The Political Economy of Macroeconomic Crisis Response,2012,5,3
The Political Economy of Mass Media,2013,14,4
The Political Economy of Movement,2018,8,4
The Political Economy of State Capitalism,2019,5,4
The Positive and Negative Effects of Information,2012,8,5
The Price Theory of Selection Markets,2014,7,4
The Productivity of Various Schooling Inputs,2019,14,5
The Provision and Valuation of Non-wage Job Attributes,2018,9,4
The Racial and Ethnic Implications of Policy in the Trump ERA,2018,5,4
The Racial Gap and Wealth Accumulation,2016,9,4
The Real Effects of Financial Markets,2014,8,4
The Relation Between Expected Returns and Betas,2019,6,3
"The Rental Market (R2, G1)",2015,9,4
The Risks of Homeownership,2019,8,4
The Role of Class in Historical Analysis,2015,4,4
The Role of Firms in Economic Development,2019,15,5
The Role of Information in Decisions about Public Education,2012,7,3
The Role of Information in Emerging Markets,2013,10,4
The Role of Management and Technology for Reallocation and Growth: Micro and Macro Evidence,2014,11,4
The Role of Media in Finance,2019,7,4
The Role of Money and Banks,2011,10,4
The Role of Private Enterprise in China's Economic Development,2011,10,4
The Role of Staffing Services in the New Economy,2012,7,3
The Role of the Employer in the Labor Market,2018,9,4
The Role of Trade in China's Growth Experience,2011,10,5
"The Social Responsibility of Business: Only Profits, or Also Other Things?",2012,5,5
The Stability of Preferences Across Contexts,2011,12,3
The State of Education in Africa and the Economic Consequences,2019,5,4
The Status of Blacks in the Economics Profession,2012,7,6
The Strength and Efficacy of the Public and Private Retirement Systems,2014,7,5
The Supply Side of Higher Education:  University Choices and the Implications for Students,2018,8,4
The Sustainability of the Chinese Growth Model,2014,12,5
The TCJA One Year Later,2019,11,4
"The Transformation of the Workplace in Japan: Globalization, Corporate Governance, and Unions",2013,4,4
The Undismal Science,2015,4,4
The Uneasy Path to Becoming a ‘Normal Country’: Effect of Transition on People and Firms in Ukraine,2018,9,4
The United States and China in the World Economy,2012,4,4
"The United States Economy: Where To From Here? (E2, F4)",2016,5,5
The Value of Culture,2019,8,3
The Walton and McKersie Behavioral Theory of Labor Negotiations at Fifty: Looking Back and Looking Ahead,2015,6,6
The Zero Lower Bound,2012,9,4
Themes in the History of Economics for Heterodox Economists,2015,7,5
Theoretical and Empirical Advances in Agglomeration Economics,2011,12,5
Theoretical and Empirical Innovations in I.O. Models,2018,11,4
Theoretical and Empirical Innovations in Technology Adoption Modeling,2012,4,4
Theoretical Models of Financial Crises,2011,5,3
Theoretical Perspectives in Institutional Economics,2019,5,5
"Theories of Conflict (F5, H8)",2015,10,4
Theories of Group Formation,2015,7,4
Theories of Over-the-Counter Markets,2013,9,4
Theorizing and Modeling in Institutional Economics,2015,6,5
Theory and Empirical Evidence in the Labor Market,2012,8,4
Theory and Empirics of Dynamic Matching,2019,6,4
Theory and Measurement of Intangible Capital,2014,6,3
Theory and Practices of Cooperatives,2015,7,4
Theory of Environmental Policy,2011,10,5
